year,count,run,watershed,notes
1980,,Fall,Toomes Creek,
1979,,Fall,Toomes Creek,
1978,,Fall,Toomes Creek,
1977,120,Fall,Toomes Creek,
1976,20,Fall,Toomes Creek,
2017,670,Fall,Cosumnes River,
2016,1248,Fall,Cosumnes River,
2015,204,Fall,Cosumnes River,
2014,373,Fall,Cosumnes River,
2013,0,Fall,Cosumnes River,
2012,1071,Fall,Cosumnes River,
2011,53,Fall,Cosumnes River,
2010,740,Fall,Cosumnes River,
2009,0,Fall,Cosumnes River,
2008,15,Fall,Cosumnes River,
2007,77,Fall,Cosumnes River,
2006,530,Fall,Cosumnes River,
2005,370,Fall,Cosumnes River,
2004,1208,Fall,Cosumnes River,
2003,122,Fall,Cosumnes River,
2002,1350,Fall,Cosumnes River,
2001,,Fall,Cosumnes River,
2000,460,Fall,Cosumnes River,
1999,229,Fall,Cosumnes River,
1998,300,Fall,Cosumnes River,
1997,,Fall,Cosumnes River,
1996,,Fall,Cosumnes River,
1995,,Fall,Cosumnes River,
1994,,Fall,Cosumnes River,
1993,,Fall,Cosumnes River,
1992,,Fall,Cosumnes River,
1991,,Fall,Cosumnes River,
1990,,Fall,Cosumnes River,
1989,,Fall,Cosumnes River,
1988,100,Fall,Cosumnes River,
1987,0,Fall,Cosumnes River,
1986,,Fall,Cosumnes River,
1985,220,Fall,Cosumnes River,
1984,1000,Fall,Cosumnes River,
1983,200,Fall,Cosumnes River,
1982,,Fall,Cosumnes River,
1981,,Fall,Cosumnes River,
1980,200,Fall,Cosumnes River,
1979,150,Fall,Cosumnes River,
1978,100,Fall,Cosumnes River,
1977,,Fall,Cosumnes River,
1976,,Fall,Cosumnes River,
1975,725,Fall,Cosumnes River,
2017,3191,Fall,Merced River,
2016,2541,Fall,Merced River,
2015,1247,Fall,Merced River,
2014,922,Fall,Merced River,
2013,2826,Fall,Merced River,
2012,2011,Fall,Merced River,
2011,1571,Fall,Merced River,
2010,651,Fall,Merced River,
2009,358,Fall,Merced River,
2008,389,Fall,Merced River,
2007,485,Fall,Merced River,
2006,1429,Fall,Merced River,
2005,1942,Fall,Merced River,
2004,3270,Fall,Merced River,
2003,2530,Fall,Merced River,
2002,8866,Fall,Merced River,
2001,9181,Fall,Merced River,
2000,11130,Fall,Merced River,
1999,3129,Fall,Merced River,
1998,3292,Fall,Merced River,
1997,2714,Fall,Merced River,
1996,3291,Fall,Merced River,
1995,2320,Fall,Merced River,
1994,2646,Fall,Merced River,
1993,1269,Fall,Merced River,
1992,618,Fall,Merced River,
1991,78,Fall,Merced River,
1990,36,Fall,Merced River,
1989,345,Fall,Merced River,
1988,4135,Fall,Merced River,
1987,3168,Fall,Merced River,
1986,6789,Fall,Merced River,
1985,14841,Fall,Merced River,
1984,27640,Fall,Merced River,
1983,16453,Fall,Merced River,
1982,3074,Fall,Merced River,
1981,9491,Fall,Merced River,
1980,2849,Fall,Merced River,
1979,1920,Fall,Merced River,
1978,525,Fall,Merced River,
1977,350,Fall,Merced River,
1976,1200,Fall,Merced River,
1975,1700,Fall,Merced River,
2017,5639,Fall,Mokelumne River,
2016,1984,Fall,Mokelumne River,
2015,4581,Fall,Mokelumne River,
2014,3297,Fall,Mokelumne River,
2013,7071,Fall,Mokelumne River,
2012,5471,Fall,Mokelumne River,
2011,2674,Fall,Mokelumne River,
2010,1920,Fall,Mokelumne River,
2009,680,Fall,Mokelumne River,
2008,173,Fall,Mokelumne River,
2007,470,Fall,Mokelumne River,
2006,1732,Fall,Mokelumne River,
2005,10406,Fall,Mokelumne River,
2004,1588,Fall,Mokelumne River,
2003,2122,Fall,Mokelumne River,
2002,2840,Fall,Mokelumne River,
2001,2307,Fall,Mokelumne River,
2000,1973,Fall,Mokelumne River,
1999,2183,Fall,Mokelumne River,
1998,4122,Fall,Mokelumne River,
1997,3681,Fall,Mokelumne River,
1996,4038,Fall,Mokelumne River,
1995,2194,Fall,Mokelumne River,
1994,1238,Fall,Mokelumne River,
1993,993,Fall,Mokelumne River,
1992,935,Fall,Mokelumne River,
1991,368,Fall,Mokelumne River,
1990,429,Fall,Mokelumne River,
1989,199,Fall,Mokelumne River,
1988,400,Fall,Mokelumne River,
1987,1000,Fall,Mokelumne River,
1986,5254,Fall,Mokelumne River,
1985,7459,Fall,Mokelumne River,
1984,8298,Fall,Mokelumne River,
1983,11293,Fall,Mokelumne River,
1982,6695,Fall,Mokelumne River,
1981,4954,Fall,Mokelumne River,
1980,2592,Fall,Mokelumne River,
1979,1000,Fall,Mokelumne River,
1978,600,Fall,Mokelumne River,
1977,250,Fall,Mokelumne River,
1976,455,Fall,Mokelumne River,
1975,1501,Fall,Mokelumne River,
2017,5655,Fall,Stanislaus River,
2016,9330,Fall,Stanislaus River,
2015,6136,Fall,Stanislaus River,
2014,3060,Fall,Stanislaus River,
2013,2845,Fall,Stanislaus River,
2012,4006,Fall,Stanislaus River,
2011,1309,Fall,Stanislaus River,
2010,1086,Fall,Stanislaus River,
2009,595,Fall,Stanislaus River,
2008,865,Fall,Stanislaus River,
2007,443,Fall,Stanislaus River,
2006,1923,Fall,Stanislaus River,
2005,1427,Fall,Stanislaus River,
2004,4015,Fall,Stanislaus River,
2003,5902,Fall,Stanislaus River,
2002,7787,Fall,Stanislaus River,
2001,7033,Fall,Stanislaus River,
2000,8498,Fall,Stanislaus River,
1999,4349,Fall,Stanislaus River,
1998,3087,Fall,Stanislaus River,
1997,5588,Fall,Stanislaus River,
1996,168,Fall,Stanislaus River,
1995,619,Fall,Stanislaus River,
1994,1031,Fall,Stanislaus River,
1993,677,Fall,Stanislaus River,
1992,255,Fall,Stanislaus River,
1991,394,Fall,Stanislaus River,
1990,480,Fall,Stanislaus River,
1989,1510,Fall,Stanislaus River,
1988,10212,Fall,Stanislaus River,
1987,6292,Fall,Stanislaus River,
1986,6497,Fall,Stanislaus River,
1985,13473,Fall,Stanislaus River,
1984,11439,Fall,Stanislaus River,
1983,500,Fall,Stanislaus River,
1982,,Fall,Stanislaus River,
1981,1000,Fall,Stanislaus River,
1980,100,Fall,Stanislaus River,
1979,110,Fall,Stanislaus River,
1978,50,Fall,Stanislaus River,
1977,0,Fall,Stanislaus River,
1976,600,Fall,Stanislaus River,
1975,1200,Fall,Stanislaus River,
2017,1096,Fall,Tuolumne River,
2016,1347,Fall,Tuolumne River,
2015,113,Fall,Tuolumne River,
2014,438,Fall,Tuolumne River,
2013,1926,Fall,Tuolumne River,
2012,783,Fall,Tuolumne River,
2011,893,Fall,Tuolumne River,
2010,540,Fall,Tuolumne River,
2009,124,Fall,Tuolumne River,
2008,388,Fall,Tuolumne River,
2007,224,Fall,Tuolumne River,
2006,562,Fall,Tuolumne River,
2005,668,Fall,Tuolumne River,
2004,1984,Fall,Tuolumne River,
2003,2163,Fall,Tuolumne River,
2002,7173,Fall,Tuolumne River,
2001,8782,Fall,Tuolumne River,
2000,17873,Fall,Tuolumne River,
1999,8232,Fall,Tuolumne River,
1998,8910,Fall,Tuolumne River,
1997,7146,Fall,Tuolumne River,
1996,4362,Fall,Tuolumne River,
1995,827,Fall,Tuolumne River,
1994,506,Fall,Tuolumne River,
1993,471,Fall,Tuolumne River,
1992,132,Fall,Tuolumne River,
1991,77,Fall,Tuolumne River,
1990,96,Fall,Tuolumne River,
1989,1275,Fall,Tuolumne River,
1988,5779,Fall,Tuolumne River,
1987,14751,Fall,Tuolumne River,
1986,7404,Fall,Tuolumne River,
1985,40322,Fall,Tuolumne River,
1984,13689,Fall,Tuolumne River,
1983,14836,Fall,Tuolumne River,
1982,7126,Fall,Tuolumne River,
1981,14253,Fall,Tuolumne River,
1980,559,Fall,Tuolumne River,
1979,1183,Fall,Tuolumne River,
1978,1300,Fall,Tuolumne River,
1977,450,Fall,Tuolumne River,
1976,1700,Fall,Tuolumne River,
1975,1600,Fall,Tuolumne River,
2016,0,Spring,Upper Sacramento River,Downstream of RBDD
2015,0,Spring,Upper Sacramento River,Downstream of RBDD
2014,0,Spring,Upper Sacramento River,Downstream of RBDD
2013,0,Spring,Upper Sacramento River,Downstream of RBDD
2012,0,Spring,Upper Sacramento River,Downstream of RBDD
2011,0,Spring,Upper Sacramento River,Downstream of RBDD
2010,0,Spring,Upper Sacramento River,Downstream of RBDD
2009,0,Spring,Upper Sacramento River,Downstream of RBDD
2008,52,Spring,Upper Sacramento River,Downstream of RBDD
2007,0,Spring,Upper Sacramento River,Downstream of RBDD
2006,0,Spring,Upper Sacramento River,Downstream of RBDD
2005,30,Spring,Upper Sacramento River,Downstream of RBDD
2004,0,Spring,Upper Sacramento River,Downstream of RBDD
2003,0,Spring,Upper Sacramento River,Downstream of RBDD
2002,0,Spring,Upper Sacramento River,Downstream of RBDD
2001,21,Spring,Upper Sacramento River,Downstream of RBDD
2000,0,Spring,Upper Sacramento River,Downstream of RBDD
1999,0,Spring,Upper Sacramento River,Downstream of RBDD
1998,0,Spring,Upper Sacramento River,Downstream of RBDD
1997,2,Spring,Upper Sacramento River,Downstream of RBDD
1996,0,Spring,Upper Sacramento River,Downstream of RBDD
1995,77,Spring,Upper Sacramento River,Downstream of RBDD
1994,0,Spring,Upper Sacramento River,Downstream of RBDD
1993,0,Spring,Upper Sacramento River,Downstream of RBDD
1992,0,Spring,Upper Sacramento River,Downstream of RBDD
1991,59,Spring,Upper Sacramento River,Downstream of RBDD
1990,302,Spring,Upper Sacramento River,Downstream of RBDD
1989,0,Spring,Upper Sacramento River,Downstream of RBDD
1988,266,Spring,Upper Sacramento River,Downstream of RBDD
1987,1460,Spring,Upper Sacramento River,Downstream of RBDD
1986,6110,Spring,Upper Sacramento River,Downstream of RBDD
1985,2713,Spring,Upper Sacramento River,Downstream of RBDD
1984,,Spring,Upper Sacramento River,Downstream of RBDD
1983,1793,Spring,Upper Sacramento River,Downstream of RBDD
1982,,Spring,Upper Sacramento River,Downstream of RBDD
1981,,Spring,Upper Sacramento River,Downstream of RBDD
1980,6,Spring,Upper Sacramento River,Downstream of RBDD
2016,0,Spring,Upper Sacramento River,Upstream of RBDD
2015,0,Spring,Upper Sacramento River,Upstream of RBDD
2014,0,Spring,Upper Sacramento River,Upstream of RBDD
2013,0,Spring,Upper Sacramento River,Upstream of RBDD
2012,0,Spring,Upper Sacramento River,Upstream of RBDD
2011,0,Spring,Upper Sacramento River,Upstream of RBDD
2010,0,Spring,Upper Sacramento River,Upstream of RBDD
2009,0,Spring,Upper Sacramento River,Upstream of RBDD
2008,0,Spring,Upper Sacramento River,Upstream of RBDD
2007,248,Spring,Upper Sacramento River,Upstream of RBDD
2006,0,Spring,Upper Sacramento River,Upstream of RBDD
2005,0,Spring,Upper Sacramento River,Upstream of RBDD
2004,370,Spring,Upper Sacramento River,Upstream of RBDD
2003,0,Spring,Upper Sacramento River,Upstream of RBDD
2002,195,Spring,Upper Sacramento River,Upstream of RBDD
2001,600,Spring,Upper Sacramento River,Upstream of RBDD
2000,43,Spring,Upper Sacramento River,Upstream of RBDD
1999,262,Spring,Upper Sacramento River,Upstream of RBDD
1998,1115,Spring,Upper Sacramento River,Upstream of RBDD
1997,126,Spring,Upper Sacramento River,Upstream of RBDD
1996,378,Spring,Upper Sacramento River,Upstream of RBDD
1995,349,Spring,Upper Sacramento River,Upstream of RBDD
1994,862,Spring,Upper Sacramento River,Upstream of RBDD
1993,391,Spring,Upper Sacramento River,Upstream of RBDD
1992,371,Spring,Upper Sacramento River,Upstream of RBDD
1991,766,Spring,Upper Sacramento River,Upstream of RBDD
1990,3896,Spring,Upper Sacramento River,Upstream of RBDD
1989,5131,Spring,Upper Sacramento River,Upstream of RBDD
1988,9601,Spring,Upper Sacramento River,Upstream of RBDD
1987,10911,Spring,Upper Sacramento River,Upstream of RBDD
1986,15948,Spring,Upper Sacramento River,Upstream of RBDD
1985,10200,Spring,Upper Sacramento River,Upstream of RBDD
1984,7823,Spring,Upper Sacramento River,Upstream of RBDD
1983,3854,Spring,Upper Sacramento River,Upstream of RBDD
1982,23156,Spring,Upper Sacramento River,Upstream of RBDD
1981,20655,Spring,Upper Sacramento River,Upstream of RBDD
1980,9363,Spring,Upper Sacramento River,Upstream of RBDD
1979,2856,Spring,Upper Sacramento River,Upstream of RBDD
1978,5669,Spring,Upper Sacramento River,Upstream of RBDD
1977,11545,Spring,Upper Sacramento River,Upstream of RBDD
1976,25095,Spring,Upper Sacramento River,Upstream of RBDD
1975,10234,Spring,Upper Sacramento River,Upstream of RBDD
2017,8,Spring,Antelope Creek,
2016,7,Spring,Antelope Creek,
2015,5,Spring,Antelope Creek,
2014,7,Spring,Antelope Creek,
2013,0,Spring,Antelope Creek,
2012,1,Spring,Antelope Creek,
2011,6,Spring,Antelope Creek,
2010,17,Spring,Antelope Creek,
2009,0,Spring,Antelope Creek,
2008,3,Spring,Antelope Creek,
2007,26,Spring,Antelope Creek,
2006,102,Spring,Antelope Creek,
2005,82,Spring,Antelope Creek,
2004,3,Spring,Antelope Creek,
2003,46,Spring,Antelope Creek,
2002,46,Spring,Antelope Creek,
2001,8,Spring,Antelope Creek,
2000,9,Spring,Antelope Creek,
1999,40,Spring,Antelope Creek,
1998,154,Spring,Antelope Creek,
1997,0,Spring,Antelope Creek,
1996,1,Spring,Antelope Creek,
1995,7,Spring,Antelope Creek,
1994,0,Spring,Antelope Creek,
1993,3,Spring,Antelope Creek,
1992,0,Spring,Antelope Creek,
1991,,Spring,Antelope Creek,
1990,,Spring,Antelope Creek,
1989,,Spring,Antelope Creek,
1988,,Spring,Antelope Creek,
1987,,Spring,Antelope Creek,
1986,,Spring,Antelope Creek,
1985,,Spring,Antelope Creek,
1984,,Spring,Antelope Creek,
1983,59,Spring,Antelope Creek,
2017,30,Spring,Battle Creek,
2016,180,Spring,Battle Creek,
2015,181,Spring,Battle Creek,
2014,429,Spring,Battle Creek,
2013,608,Spring,Battle Creek,
2012,799,Spring,Battle Creek,
2011,157,Spring,Battle Creek,
2010,172,Spring,Battle Creek,
2009,194,Spring,Battle Creek,
2008,105,Spring,Battle Creek,
2007,291,Spring,Battle Creek,
2006,221,Spring,Battle Creek,
2005,73,Spring,Battle Creek,
2004,90,Spring,Battle Creek,
2003,221,Spring,Battle Creek,
2002,222,Spring,Battle Creek,
2001,111,Spring,Battle Creek,
2000,78,Spring,Battle Creek,
1999,73,Spring,Battle Creek,
1998,178,Spring,Battle Creek,
1997,107,Spring,Battle Creek,
1996,35,Spring,Battle Creek,
1995,66,Spring,Battle Creek,
1994,,Spring,Battle Creek,
1993,,Spring,Battle Creek,
1992,,Spring,Battle Creek,
1991,,Spring,Battle Creek,
1990,2,Spring,Battle Creek,
1989,7,Spring,Battle Creek,
2017,0,Spring,Big Chico,
2016,0,Spring,Big Chico,
2015,0,Spring,Big Chico,
2014,0,Spring,Big Chico,
2013,0,Spring,Big Chico,
2012,0,Spring,Big Chico,
2011,124,Spring,Big Chico,
2010,2,Spring,Big Chico,
2009,6,Spring,Big Chico,
2008,0,Spring,Big Chico,
2007,0,Spring,Big Chico,
2006,299,Spring,Big Chico,
2005,37,Spring,Big Chico,
2004,0,Spring,Big Chico,
2003,81,Spring,Big Chico,
2002,0,Spring,Big Chico,
2001,39,Spring,Big Chico,
2000,27,Spring,Big Chico,
1999,27,Spring,Big Chico,
1998,369,Spring,Big Chico,
1997,2,Spring,Big Chico,
1996,2,Spring,Big Chico,
1995,200,Spring,Big Chico,
1994,2,Spring,Big Chico,
1993,38,Spring,Big Chico,
1992,,Spring,Big Chico,
1991,,Spring,Big Chico,
1990,,Spring,Big Chico,
1989,,Spring,Big Chico,
1988,,Spring,Big Chico,
1987,,Spring,Big Chico,
1986,,Spring,Big Chico,
1985,0,Spring,Big Chico,
1984,0,Spring,Big Chico,
1983,,Spring,Big Chico,
1982,,Spring,Big Chico,
1981,,Spring,Big Chico,
1980,,Spring,Big Chico,
1979,,Spring,Big Chico,
1978,,Spring,Big Chico,
1977,100,Spring,Big Chico,
2017,565,Spring,Butte Creek,Carcass survey
2016,5731,Spring,Butte Creek,Carcass survey
2015,569,Spring,Butte Creek,Carcass survey
2014,5083,Spring,Butte Creek,Carcass survey
2013,16782,Spring,Butte Creek,Carcass survey
2012,16317,Spring,Butte Creek,Carcass survey
2011,4871,Spring,Butte Creek,Carcass survey
2010,1991,Spring,Butte Creek,Carcass survey
2009,2687,Spring,Butte Creek,Carcass survey
2008,11046,Spring,Butte Creek,Carcass survey
2007,6871,Spring,Butte Creek,Carcass survey
2006,6537,Spring,Butte Creek,Carcass survey
2005,17592,Spring,Butte Creek,Carcass survey
2004,10558,Spring,Butte Creek,Carcass survey
2003,17404,Spring,Butte Creek,Carcass survey
2002,16409,Spring,Butte Creek,Carcass survey
2001,18670,Spring,Butte Creek,Carcass survey
2000,4118,Spring,Butte Creek,Snorkel survey
1999,3679,Spring,Butte Creek,Snorkel survey
1998,20259,Spring,Butte Creek,Snorkel survey
1997,635,Spring,Butte Creek,Snorkel survey
1996,1413,Spring,Butte Creek,Snorkel survey
1995,7500,Spring,Butte Creek,Snorkel survey
1994,474,Spring,Butte Creek,Snorkel survey
1993,650,Spring,Butte Creek,Snorkel survey
1992,730,Spring,Butte Creek,Snorkel survey
1991,,Spring,Butte Creek,Snorkel survey
1990,250,Spring,Butte Creek,Snorkel survey
1989,1300,Spring,Butte Creek,Snorkel survey
1988,1290,Spring,Butte Creek,Snorkel survey
1987,14,Spring,Butte Creek,Snorkel survey
1986,1371,Spring,Butte Creek,Snorkel survey
1985,254,Spring,Butte Creek,Snorkel survey
1984,23,Spring,Butte Creek,Snorkel survey
1983,50,Spring,Butte Creek,Snorkel survey
1982,534,Spring,Butte Creek,Snorkel survey
1981,250,Spring,Butte Creek,Snorkel survey
1980,226,Spring,Butte Creek,Snorkel survey
1979,10,Spring,Butte Creek,Snorkel survey
1978,128,Spring,Butte Creek,Snorkel survey
1977,100,Spring,Butte Creek,Snorkel survey
1976,46,Spring,Butte Creek,Snorkel survey
1975,650,Spring,Butte Creek,Unknown
2017,25,Spring,Clear Creek,
2016,29,Spring,Clear Creek,
2015,45,Spring,Clear Creek,
2014,95,Spring,Clear Creek,
2013,659,Spring,Clear Creek,
2012,68,Spring,Clear Creek,
2011,8,Spring,Clear Creek,
2010,21,Spring,Clear Creek,
2009,120,Spring,Clear Creek,
2008,200,Spring,Clear Creek,
2007,194,Spring,Clear Creek,
2006,77,Spring,Clear Creek,
2005,69,Spring,Clear Creek,
2004,98,Spring,Clear Creek,
2003,25,Spring,Clear Creek,
2002,66,Spring,Clear Creek,
2001,0,Spring,Clear Creek,
2000,9,Spring,Clear Creek,
1999,35,Spring,Clear Creek,
1998,47,Spring,Clear Creek,
1997,,Spring,Clear Creek,
1996,,Spring,Clear Creek,
1995,2,Spring,Clear Creek,
1994,0,Spring,Clear Creek,
1993,1,Spring,Clear Creek,
2017,0,Spring,Cottonwood Creek,
2016,0,Spring,Cottonwood Creek,
2015,0,Spring,Cottonwood Creek,
2014,2,Spring,Cottonwood Creek,
2013,1,Spring,Cottonwood Creek,
2012,1,Spring,Cottonwood Creek,
2011,2,Spring,Cottonwood Creek,
2010,15,Spring,Cottonwood Creek,
2009,0,Spring,Cottonwood Creek,
2008,0,Spring,Cottonwood Creek,
2007,34,Spring,Cottonwood Creek,
2006,55,Spring,Cottonwood Creek,
2005,47,Spring,Cottonwood Creek,
2004,17,Spring,Cottonwood Creek,
2003,73,Spring,Cottonwood Creek,
2002,125,Spring,Cottonwood Creek,
2001,245,Spring,Cottonwood Creek,
2000,122,Spring,Cottonwood Creek,
1999,102,Spring,Cottonwood Creek,
1998,477,Spring,Cottonwood Creek,
1997,0,Spring,Cottonwood Creek,
1996,6,Spring,Cottonwood Creek,
1995,8,Spring,Cottonwood Creek,
1994,,Spring,Cottonwood Creek,
1993,1,Spring,Cottonwood Creek,
1992,,Spring,Cottonwood Creek,
1991,,Spring,Cottonwood Creek,
1990,,Spring,Cottonwood Creek,
1989,0,Spring,Cottonwood Creek,
1988,,Spring,Cottonwood Creek,
1987,,Spring,Cottonwood Creek,
1986,,Spring,Cottonwood Creek,
1985,,Spring,Cottonwood Creek,
1984,,Spring,Cottonwood Creek,
1983,,Spring,Cottonwood Creek,
1982,0,Spring,Cottonwood Creek,
1981,,Spring,Cottonwood Creek,
1980,,Spring,Cottonwood Creek,
1979,,Spring,Cottonwood Creek,
1978,,Spring,Cottonwood Creek,
1977,,Spring,Cottonwood Creek,
1976,,Spring,Cottonwood Creek,
1975,3,Spring,Cottonwood Creek,
2017,219,Spring,Deer Creek,
2016,331,Spring,Deer Creek,
2015,268,Spring,Deer Creek,
2014,830,Spring,Deer Creek,
2013,708,Spring,Deer Creek,
2012,734,Spring,Deer Creek,
2011,271,Spring,Deer Creek,
2010,262,Spring,Deer Creek,
2009,213,Spring,Deer Creek,
2008,140,Spring,Deer Creek,
2007,644,Spring,Deer Creek,
2006,2432,Spring,Deer Creek,
2005,2239,Spring,Deer Creek,
2004,804,Spring,Deer Creek,
2003,2759,Spring,Deer Creek,
2002,2195,Spring,Deer Creek,
2001,1622,Spring,Deer Creek,
2000,637,Spring,Deer Creek,
1999,1591,Spring,Deer Creek,
1998,1879,Spring,Deer Creek,
1997,466,Spring,Deer Creek,
1996,614,Spring,Deer Creek,
1995,1295,Spring,Deer Creek,
1994,485,Spring,Deer Creek,
1993,259,Spring,Deer Creek,
1992,209,Spring,Deer Creek,
1991,479,Spring,Deer Creek,
1990,496,Spring,Deer Creek,
1989,84,Spring,Deer Creek,
1988,371,Spring,Deer Creek,
1987,200,Spring,Deer Creek,
1986,543,Spring,Deer Creek,
1985,301,Spring,Deer Creek,
1984,,Spring,Deer Creek,
1983,500,Spring,Deer Creek,
1982,1500,Spring,Deer Creek,
1981,,Spring,Deer Creek,
1980,1500,Spring,Deer Creek,
1979,,Spring,Deer Creek,
1978,1200,Spring,Deer Creek,
1977,340,Spring,Deer Creek,
1976,,Spring,Deer Creek,
1975,8500,Spring,Deer Creek,
1982,90,Spring,Feather River,
1981,531,Spring,Feather River,
1980,400,Spring,Feather River,
1979,,Spring,Feather River,
1978,2,Spring,Feather River,
2017,258,Spring,Mill Creek,
2016,175,Spring,Mill Creek,
2015,127,Spring,Mill Creek,
2014,679,Spring,Mill Creek,
2013,644,Spring,Mill Creek,
2012,768,Spring,Mill Creek,
2011,366,Spring,Mill Creek,
2010,482,Spring,Mill Creek,
2009,220,Spring,Mill Creek,
2008,381,Spring,Mill Creek,
2007,920,Spring,Mill Creek,
2006,1002,Spring,Mill Creek,
2005,1150,Spring,Mill Creek,
2004,998,Spring,Mill Creek,
2003,1426,Spring,Mill Creek,
2002,1594,Spring,Mill Creek,
2001,1104,Spring,Mill Creek,
2000,544,Spring,Mill Creek,
1999,560,Spring,Mill Creek,
1998,424,Spring,Mill Creek,
1997,202,Spring,Mill Creek,
1996,253,Spring,Mill Creek,
1995,320,Spring,Mill Creek,
1994,723,Spring,Mill Creek,
1993,61,Spring,Mill Creek,
1992,237,Spring,Mill Creek,
1991,319,Spring,Mill Creek,
1990,844,Spring,Mill Creek,
1989,563,Spring,Mill Creek,
1988,572,Spring,Mill Creek,
1987,90,Spring,Mill Creek,
1986,291,Spring,Mill Creek,
1985,121,Spring,Mill Creek,
1984,191,Spring,Mill Creek,
1983,,Spring,Mill Creek,
1982,700,Spring,Mill Creek,
1981,,Spring,Mill Creek,
1980,500,Spring,Mill Creek,
1979,,Spring,Mill Creek,
1978,925,Spring,Mill Creek,
1977,460,Spring,Mill Creek,
1976,,Spring,Mill Creek,
1975,3500,Spring,Mill Creek,
2002,2,Spring,Thomes Creek,
2001,,Spring,Thomes Creek,
2000,,Spring,Thomes Creek,
1999,,Spring,Thomes Creek,
1998,1,Spring,Thomes Creek,
2001,108,Spring,Yuba River,
2000,,Spring,Yuba River,
1999,,Spring,Yuba River,
1998,,Spring,Yuba River,
1997,,Spring,Yuba River,
1996,,Spring,Yuba River,
1995,,Spring,Yuba River,
1994,,Spring,Yuba River,
1993,,Spring,Yuba River,
1992,,Spring,Yuba River,
1991,,Spring,Yuba River,
1990,,Spring,Yuba River,
1989,,Spring,Yuba River,
1988,,Spring,Yuba River,
1987,,Spring,Yuba River,
1986,,Spring,Yuba River,
1985,,Spring,Yuba River,
1984,,Spring,Yuba River,
1983,,Spring,Yuba River,
1982,,Spring,Yuba River,
1981,200,Spring,Yuba River,
1980,200,Spring,Yuba River,
2010,1,Winter,Battle Creek,Upstream of CNFH
2009,0,Winter,Battle Creek,Upstream of CNFH
2008,0,Winter,Battle Creek,Upstream of CNFH
2007,0,Winter,Battle Creek,Upstream of CNFH
2006,0,Winter,Battle Creek,Upstream of CNFH
2005,6,Winter,Battle Creek,Upstream of CNFH
2004,0,Winter,Battle Creek,Upstream of CNFH
2003,,Winter,Battle Creek,Upstream of CNFH
2002,,Winter,Battle Creek,Upstream of CNFH
2001,,Winter,Battle Creek,Upstream of CNFH
2000,,Winter,Battle Creek,Upstream of CNFH
1999,2,Winter,Battle Creek,Upstream of CNFH
1998,,Winter,Battle Creek,Upstream of CNFH
1997,,Winter,Battle Creek,Upstream of CNFH
1996,44,Winter,Battle Creek,Upstream of CNFH
1995,325,Winter,Battle Creek,Upstream of CNFH
1994,88,Winter,Battle Creek,Upstream of CNFH
2016,0,Winter,Upper Sacramento River,Downstream of RBDD
2015,0,Winter,Upper Sacramento River,Downstream of RBDD
2014,0,Winter,Upper Sacramento River,Downstream of RBDD
2013,0,Winter,Upper Sacramento River,Downstream of RBDD
2012,0,Winter,Upper Sacramento River,Downstream of RBDD
2011,0,Winter,Upper Sacramento River,Downstream of RBDD
2010,0,Winter,Upper Sacramento River,Downstream of RBDD
2009,0,Winter,Upper Sacramento River,Downstream of RBDD
2008,0,Winter,Upper Sacramento River,Downstream of RBDD
2007,0,Winter,Upper Sacramento River,Downstream of RBDD
2006,0,Winter,Upper Sacramento River,Downstream of RBDD
2005,48,Winter,Upper Sacramento River,Downstream of RBDD
2004,0,Winter,Upper Sacramento River,Downstream of RBDD
2003,0,Winter,Upper Sacramento River,Downstream of RBDD
2002,28,Winter,Upper Sacramento River,Downstream of RBDD
2001,12,Winter,Upper Sacramento River,Downstream of RBDD
2000,35,Winter,Upper Sacramento River,Downstream of RBDD
1999,0,Winter,Upper Sacramento River,Downstream of RBDD
1998,0,Winter,Upper Sacramento River,Downstream of RBDD
1997,62,Winter,Upper Sacramento River,Downstream of RBDD
1996,0,Winter,Upper Sacramento River,Downstream of RBDD
1995,0,Winter,Upper Sacramento River,Downstream of RBDD
1994,7,Winter,Upper Sacramento River,Downstream of RBDD
1993,0,Winter,Upper Sacramento River,Downstream of RBDD
1992,9,Winter,Upper Sacramento River,Downstream of RBDD
1991,44,Winter,Upper Sacramento River,Downstream of RBDD
1990,0,Winter,Upper Sacramento River,Downstream of RBDD
1989,28,Winter,Upper Sacramento River,Downstream of RBDD
1988,14,Winter,Upper Sacramento River,Downstream of RBDD
1987,728,Winter,Upper Sacramento River,Downstream of RBDD
1986,97,Winter,Upper Sacramento River,Downstream of RBDD
1985,,Winter,Upper Sacramento River,Downstream of RBDD
1984,1445,Winter,Upper Sacramento River,Downstream of RBDD
1983,,Winter,Upper Sacramento River,Downstream of RBDD
1982,,Winter,Upper Sacramento River,Downstream of RBDD
1981,39,Winter,Upper Sacramento River,Downstream of RBDD
1980,2756,Winter,Upper Sacramento River,Downstream of RBDD
2016,795,Winter,Upper Sacramento River,Upstream of RBDD
2015,1409,Winter,Upper Sacramento River,Upstream of RBDD
2014,3182,Winter,Upper Sacramento River,Upstream of RBDD
2013,2627,Winter,Upper Sacramento River,Upstream of RBDD
2012,5920,Winter,Upper Sacramento River,Upstream of RBDD
2011,2578,Winter,Upper Sacramento River,Upstream of RBDD
2010,738,Winter,Upper Sacramento River,Upstream of RBDD
